status_id,created_at,text,source,is_quote,is_retweet,favorite_count,retweet_count,place_url,place_name,place_full_name,place_type,country,country_code,hashtags
985918457836396545,2018-04-16T16:30:52Z,RT @FAOfish: These #farmers from #Egypt are planning &amp; designing ideal integrated agri-#aquaculture #farms as part of #training sessions or…,Twitter for iPhone,FALSE,TRUE,0,12,NA,NA,NA,NA,NA,NA,Egypt
985918457836396545,2018-04-16T16:30:52Z,RT @FAOfish: These #farmers from #Egypt are planning &amp; designing ideal integrated agri-#aquaculture #farms as part of #training sessions or…,Twitter for iPhone,FALSE,TRUE,0,12,NA,NA,NA,NA,NA,NA,aquaculture
985918457836396545,2018-04-16T16:30:52Z,RT @FAOfish: These #farmers from #Egypt are planning &amp; designing ideal integrated agri-#aquaculture #farms as part of #training sessions or…,Twitter for iPhone,FALSE,TRUE,0,12,NA,NA,NA,NA,NA,NA,farms
985918457836396545,2018-04-16T16:30:52Z,RT @FAOfish: These #farmers from #Egypt are planning &amp; designing ideal integrated agri-#aquaculture #farms as part of #training sessions or…,Twitter for iPhone,FALSE,TRUE,0,12,NA,NA,NA,NA,NA,NA,training
985918031443439616,2018-04-16T16:29:10Z,"RT @wildfishNW: Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles…",Twitter Web Client,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA
985917634574200837,2018-04-16T16:27:36Z,Marine spatial planning of #aquaculture facilities #seaweed farms in the Philippines - very productive project meeting with @ucnians @CefasGovUK @NewtonFund @leosorio33023 @Elena04011984 https://t.co/itAx3IEpfY,Twitter Web Client,FALSE,FALSE,1,1,NA,NA,NA,NA,NA,NA,aquaculture
985917634574200837,2018-04-16T16:27:36Z,Marine spatial planning of #aquaculture facilities #seaweed farms in the Philippines - very productive project meeting with @ucnians @CefasGovUK @NewtonFund @leosorio33023 @Elena04011984 https://t.co/itAx3IEpfY,Twitter Web Client,FALSE,FALSE,1,1,NA,NA,NA,NA,NA,NA,seaweed
985917310375464960,2018-04-16T16:26:18Z,RT @ggn_org: There are many developments in the #aquaculture sector striving to find the most eco-friendly solution. What will net pens loo…,Hootsuite,FALSE,TRUE,0,1,NA,NA,NA,NA,NA,NA,aquaculture
985917305870868480,2018-04-16T16:26:17Z,"RT @FAO4Members: 400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partners…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,BayofBengal
985917305870868480,2018-04-16T16:26:17Z,"RT @FAO4Members: 400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partners…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,Norway
985917305870868480,2018-04-16T16:26:17Z,"RT @FAO4Members: 400MM people live in the #BayofBengal area &amp; rely on it for food &amp; livelihoods

A FAO-@theGEF-#Norway🇳🇴-#Sweden🇸🇪 partners…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,Sweden
985917026966237184,2018-04-16T16:25:11Z,"RT @wildfishNW: Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles…",TweetDeck,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA
